K,Mean,N,amortize,data,decoder,eval_method,fixtransition,hoffmanlike,learnreverse,nfprior,numnfpriors,separateparams,std,usebatchnorm,vanillaepoches
2,-98.73,1,False,mnist,deconv,IS_with_same_inference_part,False,False,True,,,True,0.03,True,0
1,-90.0915298461914,1,False,mnist,deconv,IS_with_same_inference_part,False,True,True,,,True,0.03822317346930504,True,0
2,-91.25090789794922,1,False,mnist,deconv,IS_with_same_inference_part,False,True,True,,,True,0.01186813786625862,True,0
2,-89.18521118164062,1,False,mnist,deconv,IS_with_separately_trained_inference_part,False,True,True,,,True,0.07282167673110962,True,0
1,-88.97655487060547,1,False,mnist,deconv,IS_with_separately_trained_inference_part,False,True,True,,,True,0.02994104661047458,True,0
5,-105.6229476928711,1,False,mnist,deconv,IS_with_separately_trained_inference_part,False,True,True,,,True,0.07168055325746536,True,0
5,-110.90935516357422,1,False,mnist,deconv,IS_with_same_inference_part,False,True,True,,,True,0.015964332967996597,True,0
1,-93.09838104248048,5,False,mnist,deconv,IS_with_same_inference_part,False,True,True,,,True,0.04810165986418724,True,0
1,-90.682373046875,5,False,mnist,deconv,IS_with_separately_trained_inference_part,False,True,True,,,True,0.030605103820562363,True,0
2,-94.3335952758789,2,False,mnist,deconv,IS_with_same_inference_part,False,True,True,,,True,0.056322086602449424,True,0
2,-91.2875747680664,2,False,mnist,deconv,IS_with_separately_trained_inference_part,False,True,True,,,True,0.06390339881181717,True,0
2,-93.6064453125,1,False,mnist,deconv,IS_with_separately_trained_inference_part,False,True,True,IAF,1.0,True,0.08647774159908295,True,0
